Domain,Section,Study Area,URL
Domain 1: Connect to and Transform Data,1.3. Perform data transformation in Tableau Prep,1.3.1. Choose which data transformation to perform based on a business scenario,https://help.tableau.com/current/pro/desktop/en-us/data_structure_for_analysis.htm
Domain 1: Connect to and Transform Data,1.3. Perform data transformation in Tableau Prep,1.3.2. Combine data by using unions,https://help.tableau.com/current/prep/en-us/prep_combine.htm
Domain 1: Connect to and Transform Data,1.3. Perform data transformation in Tableau Prep,1.3.3. Combine data by using joins,https://help.tableau.com/current/prep/en-us/prep_combine.htm
Domain 1: Connect to and Transform Data,1.3. Perform data transformation in Tableau Prep,1.3.4. Shape data by using aggregations,https://help.tableau.com/current/prep/en-us/prep_combine.htm#aggregate-and-group-values
Domain 1: Connect to and Transform Data,1.3. Perform data transformation in Tableau Prep,1.3.5. Perform filtering,https://help.tableau.com/current/prep/en-us/prep_filter.htm
Domain 1: Connect to and Transform Data,1.3. Perform data transformation in Tableau Prep,1.3.6. Shape data by using pivots,https://help.tableau.com/current/prep/en-us/prep_pivot.htm
Domain 1: Connect to and Transform Data,1.4. Customize fields,"1.4.1. Change default field properties (types, sorting, etc.)",https://help.tableau.com/current/pro/desktop/en-us/datafields_fieldproperties.htm
Domain 1: Connect to and Transform Data,1.4. Customize fields,1.4.2. Rename columns,https://help.tableau.com/current/pro/desktop/en-us/howto_connect.htm
Domain 1: Connect to and Transform Data,1.4. Customize fields,1.4.3. Choose when to convert between discrete and continuous,https://help.tableau.com/current/pro/desktop/en-us/datafields_typesandroles_convertdisctocont.htm
Domain 1: Connect to and Transform Data,1.4. Customize fields,1.4.4. Choose when to convert between dimension and measure,https://help.tableau.com/current/pro/desktop/en-us/datafields_typesandroles_convertdimtomeas.htm
Domain 1: Connect to and Transform Data,1.4. Customize fields,1.4.5. Create aliases,https://help.tableau.com/current/pro/desktop/en-us/datafields_fieldproperties_aliases_ex1editing.htm
Domain 2: Explore and Analyze Data,2.1. Create calculated fields,"2.1.1. Write date calculations (DATEPARSE, DATENAME…)",https://help.tableau.com/current/pro/desktop/en-us/functions_functions_date.htm
Domain 2: Explore and Analyze Data,2.1. Create calculated fields,2.1.2. Write string functions,https://help.tableau.com/current/pro/desktop/en-us/functions_functions_string.htm
Domain 2: Explore and Analyze Data,2.1. Create calculated fields,"2.1.3. Write logical and Boolean expressions (If, case, nested, etc.)",https://help.tableau.com/current/pro/desktop/en-us/functions_functions_logical.htm
Domain 2: Explore and Analyze Data,2.1. Create calculated fields,2.1.4. Write number functions,https://help.tableau.com/current/pro/desktop/en-us/functions_functions_number.htm
Domain 2: Explore and Analyze Data,2.1. Create calculated fields,2.1.5. Write type conversion functions,https://help.tableau.com/current/pro/desktop/en-us/functions_functions_typeconversion.htm
Domain 2: Explore and Analyze Data,2.1. Create calculated fields,2.1.6. Write aggregate functions,https://help.tableau.com/current/pro/desktop/en-us/calculations_calculatedfields_aggregate_create.htm
Domain 2: Explore and Analyze Data,2.1. Create calculated fields,2.1.7. Write FIXED LOD calculations,https://help.tableau.com/current/pro/desktop/en-us/calculations_calculatedfields_lod_fixed.htm
Domain 2: Explore and Analyze Data,2.2. Create quick table calculations,2.2.1. Moving average,https://help.tableau.com/current/pro/desktop/en-us/calculations_tablecalculations_definebasic_runningtotal.htm
Domain 2: Explore and Analyze Data,2.2. Create quick table calculations,2.2.2. Percent of total,https://help.tableau.com/current/pro/desktop/en-us/calculations_tablecalculations_definebasic_runningtotal.htm
Domain 2: Explore and Analyze Data,2.2. Create quick table calculations,2.2.3. Running total,https://help.tableau.com/current/pro/desktop/en-us/calculations_tablecalculations_definebasic_runningtotal.htm
Domain 2: Explore and Analyze Data,2.2. Create quick table calculations,2.2.4. Difference and percent of difference,https://help.tableau.com/current/pro/desktop/en-us/calculations_tablecalculations_definebasic_runningtotal.htm
Domain 2: Explore and Analyze Data,2.2. Create quick table calculations,2.2.5. Percentile,https://help.tableau.com/current/pro/desktop/en-us/calculations_tablecalculations_definebasic_runningtotal.htm
Domain 2: Explore and Analyze Data,2.2. Create quick table calculations,2.2.6. Compound growth rate,https://kb.tableau.com/articles/HowTo/calculating-compounded-annual-growth-rate
Domain 2: Explore and Analyze Data,2.3. Create custom table calculations,2.3.1. Year to date,https://kb.tableau.com/articles/howto/creating-year-to-date-and-month-to-date-calculations
Domain 2: Explore and Analyze Data,2.3. Create custom table calculations,2.3.2. Month to date,https://kb.tableau.com/articles/howto/creating-year-to-date-and-month-to-date-calculations
Domain 2: Explore and Analyze Data,2.3. Create custom table calculations,2.3.3. Year over year,https://kb.tableau.com/articles/HowTo/calculating-year-over-year-growth-with-individual-measures
Domain 2: Explore and Analyze Data,2.3. Create custom table calculations,2.3.4. Index,https://help.tableau.com/current/pro/desktop/en-us/functions_functions_tablecalculation.htm
Domain 2: Explore and Analyze Data,2.3. Create custom table calculations,2.3.5. Ranking,https://help.tableau.com/current/pro/desktop/en-us/functions_functions_tablecalculation.htm
Domain 2: Explore and Analyze Data,2.3. Create custom table calculations,2.3.6. First-last,https://help.tableau.com/current/pro/desktop/en-us/functions_functions_tablecalculation.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,2.4.1. Apply filters to dimensions and measures,https://help.tableau.com/current/pro/desktop/en-us/filtering.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,2.4.1. Apply filters to dimensions and measures,https://help.tableau.com/current/pro/desktop/en-us/filtering.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,"2.4.2. Configure filter settings including Top N, Bottom N, include, exclude, wildcard, and conditional",https://help.tableau.com/current/pro/desktop/en-us/filtering.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,"2.4.2. Configure filter settings including Top N, Bottom N, include, exclude, wildcard, and conditional",https://help.tableau.com/current/pro/desktop/en-us/filtering.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,"2.4.2. Configure filter settings including Top N, Bottom N, include, exclude, wildcard, and conditional",https://help.tableau.com/current/pro/desktop/en-us/filtering.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,"2.4.2. Configure filter settings including Top N, Bottom N, include, exclude, wildcard, and conditional",https://help.tableau.com/current/pro/desktop/en-us/filtering.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,"2.4.2. Configure filter settings including Top N, Bottom N, include, exclude, wildcard, and conditional",https://help.tableau.com/current/pro/desktop/en-us/filtering.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,2.4.3. Add filters to context,https://help.tableau.com/current/pro/desktop/en-us/filtering_context.htm
Domain 2: Explore and Analyze Data,2.4. Create and use filters,2.4.4. Apply filters to multiple sheets and data sources,https://help.tableau.com/current/pro/desktop/en-us/filtering_global.htm
Domain 2: Explore and Analyze Data,2.5. Create parameters to enable interactivity,2.5.1. In calculations,https://help.tableau.com/current/pro/desktop/en-us/parameters_create.htm
Domain 2: Explore and Analyze Data,2.5. Create parameters to enable interactivity,2.5.2. With filters,https://help.tableau.com/current/pro/desktop/en-us/parameters_create.htm
Domain 2: Explore and Analyze Data,2.5. Create parameters to enable interactivity,2.5.3. With reference lines,https://help.tableau.com/current/pro/desktop/en-us/parameters_create.htm
Domain 2: Explore and Analyze Data,2.6. Structure the data,2.6.1. Sets,https://help.tableau.com/current/pro/desktop/en-us/sortgroup_sets_create.htm
Domain 2: Explore and Analyze Data,2.6. Structure the data,2.6.2. Bins,https://help.tableau.com/current/pro/desktop/en-us/calculations_bins.htm
Domain 2: Explore and Analyze Data,2.6. Structure the data,2.6.3. Hierarchies,https://help.tableau.com/current/pro/desktop/en-us/qs_hierarchies.htm
Domain 2: Explore and Analyze Data,2.6. Structure the data,2.6.4. Groups,https://help.tableau.com/current/pro/desktop/en-us/sortgroup_groups_creating.htm
Domain 2: Explore and Analyze Data,2.7. Map data geographically,2.7.1. Create symbol maps,https://help.tableau.com/current/pro/desktop/en-us/maps_howto_symbol.htm
Domain 2: Explore and Analyze Data,2.7. Map data geographically,2.7.2. Create heat maps,https://help.tableau.com/current/pro/desktop/en-us/maps_howto_heatmap.htm
Domain 2: Explore and Analyze Data,2.7. Map data geographically,2.7.3. Create density maps,https://help.tableau.com/current/pro/desktop/en-us/maps_howto_heatmap.htm
Domain 2: Explore and Analyze Data,2.7. Map data geographically,2.7.4. Create choropleth maps (filled maps),https://help.tableau.com/current/pro/desktop/en-us/maps_build.htm#Choropleth
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.1. Totals and subtotals,https://help.tableau.com/current/pro/desktop/en-us/calculations_totals_grandtotal_turnon.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.2. Reference lines,https://help.tableau.com/current/pro/desktop/en-us/reference_lines.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.3. Reference bands,https://help.tableau.com/current/pro/desktop/en-us/reference_lines.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.4. Average lines,https://help.tableau.com/current/pro/desktop/en-us/environ_workspace_analytics_pane.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.5. Trend lines,https://help.tableau.com/current/pro/desktop/en-us/trendlines_add.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.6. Distribution bands,https://help.tableau.com/current/pro/desktop/en-us/reference_lines.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.7. Forecast by using default settings,https://help.tableau.com/current/pro/desktop/en-us/forecast_create.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.8. Customize a data forecasting model,https://help.tableau.com/current/pro/desktop/en-us/forecast_options.htm
Domain 2: Explore and Analyze Data,"2.8. Summarize, model, and customize data by using the Analytics feature",2.8.9. Create a predictive model,https://help.tableau.com/current/pro/desktop/en-us/predictions.htm
Domain 3: Create Content,3.1. Create charts,"3.1.1. Create basic charts from scratch (bar, line, pie, highlight table, scatter plot, histogram, tree map, bubbles, data tables, Gantt, box plots, area, dual axis, combo)",https://help.tableau.com/current/pro/desktop/en-us/dataview_examples.htm
Domain 3: Create Content,3.1. Create charts,3.1.2. Sort data (including custom sort),https://help.tableau.com/current/pro/desktop/en-us/sortgroup_sorting_computed_howto.htm
Domain 3: Create Content,3.2. Create dashboards and stories,3.2.1. Combine sheets into a dashboard by using containers and layout options,https://help.tableau.com/current/pro/desktop/en-us/dashboards_organize_floatingandtiled.htm
Domain 3: Create Content,3.2. Create dashboards and stories,3.2.2. Add objects,https://help.tableau.com/current/pro/desktop/en-us/dashboards_create.htm
Domain 3: Create Content,3.2. Create dashboards and stories,3.2.3. Create stories,https://help.tableau.com/current/pro/desktop/en-us/stories.htm
Domain 3: Create Content,3.3. Add interactivity to dashboards,3.3.1. Apply a filter to a view,https://kb.tableau.com/articles/howto/adding-filters-to-dashboards
Domain 3: Create Content,3.3. Add interactivity to dashboards,"3.3.2. Add filter, URL, and highlight actions",https://help.tableau.com/current/pro/desktop/en-us/actions_filter.htm
Domain 3: Create Content,3.3. Add interactivity to dashboards,"3.3.2. Add filter, URL, and highlight actions",https://help.tableau.com/current/pro/desktop/en-us/actions_url.htm
Domain 3: Create Content,3.3. Add interactivity to dashboards,"3.3.2. Add filter, URL, and highlight actions",https://help.tableau.com/current/pro/desktop/en-us/actions_highlight.htm
Domain 3: Create Content,3.3. Add interactivity to dashboards,3.3.3. Swap sheets by using parameters or sheet selector,https://help.tableau.com/current/pro/desktop/en-us/dashboards_sheet_selector.htm
Domain 3: Create Content,3.3. Add interactivity to dashboards,3.3.4. Add navigation buttons,https://help.tableau.com/current/pro/desktop/en-us/dashboards_create.htm
Domain 3: Create Content,3.3. Add interactivity to dashboards,"3.3.5. Implement user guiding sentences (click…, hover…, menu options)",https://help.tableau.com/current/blueprint/en-us/bp_visual_best_practices.htm
Domain 3: Create Content,3.3. Add interactivity to dashboards,"3.3.5. Implement user guiding sentences (click…, hover…, menu options)",https://help.tableau.com/current/pro/desktop/en-us/dashboards_best_practices.htm
Domain 3: Create Content,3.4. Format dashboards,"3.4.1. Apply color, font, shapes, styling",https://help.tableau.com/current/pro/desktop/en-us/viewparts_marks_markproperties_color.htm
Domain 3: Create Content,3.4. Format dashboards,3.4.2. Add custom shapes and color palettes,https://help.tableau.com/current/pro/desktop/en-us/viewparts_marks_markproperties.htm
Domain 3: Create Content,3.4. Format dashboards,3.4.3. Add annotations,https://help.tableau.com/current/pro/desktop/en-us/annotations_annotations_add.htm
Domain 3: Create Content,3.4. Format dashboards,3.4.4. Add tooltips,https://help.tableau.com/current/pro/desktop/en-us/formatting_specific_titlecaption.htm
Domain 3: Create Content,3.4. Format dashboards,3.4.5. Apply padding,https://help.tableau.com/current/pro/desktop/en-us/dashboards_organize_floatingandtiled.htm
Domain 3: Create Content,3.4. Format dashboards,"3.4.6. Remove gridlines, row-level and column-level bands, and shading",https://help.tableau.com/current/pro/desktop/en-us/formatting_worksheet.htm
Domain 3: Create Content,3.4. Format dashboards,3.4.7. Apply responsive design for specific device layouts,https://help.tableau.com/current/pro/desktop/en-us/dashboards_dsd_create.htm
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.1. Publish Content,4.1.1. Publish a workbook,https://help.tableau.com/current/pro/desktop/en-us/publish_workbooks_howto.htm
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.1. Publish Content,4.1.2. Publish a data source,https://help.tableau.com/current/pro/desktop/en-us/publish_datasources.htm
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.1. Publish Content,4.1.3. Print content,https://help.tableau.com/current/pro/desktop/en-us/printing.htm
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.1. Publish Content,4.1.4. Export content,https://help.tableau.com/current/pro/desktop/en-us/save_export_data.htm
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.2. Schedule data updates,4.2.1. Schedule data extract refreshes,https://help.tableau.com/current/server/en-us/qs_refresh_extracts.htm
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.2. Schedule data updates,4.2.2. Schedule a Tableau Prep workflow,https://help.tableau.com/current/server/en-us/prep_conductor_create_schedule_definitions.htm
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.3. Manage Published workbooks,4.3.1. Create alerts,https://kb.tableau.com/articles/HowTo/how-to-reate-conditional-data-driven-alerts
Domain 4: Publish and Manage Content on Tableau Server and Tableau Online,4.3. Manage Published workbooks,4.3.2. Create subscriptions,https://help.tableau.com/current/online/en-us/subscribe_user.htm
